Courses
;Year;Period;Code;Name;Section;Dept.;T;P;L;Cr;ECTS;Category;Lecturer;Room;Schedule;# of Students;Successfull;Unsuccessfull;Conditional;Withdrawn;Average;Staff ID;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_02;Department of Business Administration;3;0;0;3;6;Course;Burze Yaşar ;;Fr 15 - 18;0;;;;;;308;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_03;Department of Business Administration;3;0;0;3;6;Course;Can Armutlu ;;Fr 15 - 18;0;;;;;;481;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_04;Department of Business Administration;3;0;0;3;6;Course;Işıl Sevilay Yılmaz ;;Fr 15 - 18;0;;;;;;864;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_05;Department of Business Administration;3;0;0;3;6;Course;Kıymet Duygu Erdaş ;;Fr 15 - 18;0;;;;;;3102;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_06;Department of Business Administration;3;0;0;3;6;Course;Şebnem Akipek Öcal ;;Fr 15 - 18;0;;;;;;279;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_01;Department of Business Administration;3;0;0;3;7;Course;Aras Alkış ;;Fr 15 - 18;0;;;;;;1340;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_02;Department of Business Administration;3;0;0;3;7;Course;Burze Yaşar ;;Fr 15 - 18;0;;;;;;308;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_03;Department of Business Administration;3;0;0;3;7;Course;Can Armutlu ;;Fr 15 - 18;0;;;;;;481;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_04;Department of Business Administration;3;0;0;3;7;Course;Işıl Sevilay Yılmaz ;;Fr 15 - 18;0;;;;;;864;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_05;Department of Business Administration;3;0;0;3;7;Course;Kıymet Duygu Erdaş ;;Fr 15 - 18;0;;;;;;3102;
;2025;2;BA 402-O;Graduation Paper and Seminar;BA 402-O_06;Department of Business Administration;3;0;0;3;7;Course;Şebnem Akipek Öcal ;;Fr 15 - 18;0;;;;;;279;
;2025;2;BA 431;Financial Markets and Institutions;BA 431_01;Department of Business Administration;3;0;0;3;6;Course;Sadettin Aydın Yüksel ;D228;Tu 09 - 12;0;;;;;;5038;
;2025;2;BA 447;Perception Management;BA 447_01;Department of Business Administration;3;0;0;3;6;Course;Semih Yalman (S) ;DB20;Th 12 - 15;0;;;;;;00004090 (S);
;2025;2;BA 451;Human Resource Management;BA 451_01;Department of Business Administration;3;0;0;3;6;Course;Habibe Meltem Ferendeci Özgödek (S) ;G113;Mo 15 - 18;0;;;;;;00000866 (S);
;2025;2;BA 452;Managing and Leading;BA 452_01;Department of Business Administration;3;0;0;3;6;Course;Kıymet Duygu Erdaş ;D232;Fr 09 - 12;0;;;;;;3102;
;2025;2;BA 461;Consumer Behavior;BA 461_01;Department of Business Administration;3;0;0;3;6;Course;Can Armutlu ;D230;We 15 - 18;0;;;;;;481;
;2025;2;BA 462;New Product Development;BA 462_01;Department of Business Administration;3;0;0;3;6;Course;Aras Alkış ;G010;Tu 12 - 15;0;;;;;;1340;
;2025;2;BA 464;Brand Management;BA 464_01;Department of Business Administration;3;0;0;3;6;Course;Semih Yalman (S) ;DB18;We 15 - 18;0;;;;;;00004090 (S);
;2025;2;BA 470;Environmental, Social, and Governance Investment Analysis;BA 470_01;Department of Business Administration;3;0;0;3;6;Course;Işıl Sevilay Yılmaz ;G105;We 12 - 15;0;;;;;;864;
;2025;2;BA 473;Project Management;BA 473_01;Department of Business Administration;3;0;0;3;6;Course;;G113;Th 12 - 15;0;;;;;;;
;2025;2;BA 475;Innovation Management;BA 475_01;Department of Business Administration;3;0;0;3;6;Course;;G113;Th 15 - 18;39;;;;;;;
;2025;2;BIO 110;Introduction to Modern Biology;BIO 110_01;Basic Sciences;3;0;0;3;5;Course;Gözde Ünsoy (S) ;D228;Th 12 - 15;0;;;;;;00002028 (S);
;2025;2;BIO 110;Introduction to Modern Biology;BIO 110_02;Basic Sciences;3;0;0;3;5;Course;Gözde Ünsoy (S) ;D230;Fr 09 - 12;0;;;;;;00002028 (S);
;2025;2;BIO 110;Introduction to Modern Biology;BIO 110_03;Basic Sciences;3;0;0;3;5;Course;Gözde Ünsoy (S) ;D234;Fr 13 - 16;0;;;;;;00002028 (S);
;2025;2;CE 211;Engineering Mechanics I;CE 211_01;Department of Civil Engineering;3;0;0;3;5;Course;Rıza Secer Orkun Keskin ;G101;Mo 16 - 17 Tu 14 - 16;0;;;;;;1812;
;2025;2;CE 212;Engineering Mechanics II;CE 212_01;Department of Civil Engineering;3;0;0;3;5;Course;Rıza Secer Orkun Keskin ;G101;Tu 11 - 12 We 15 - 17;0;;;;;;1812;
;2025;2;CE 214;Introduction to Mechanics of Materials;CE 214_01;Department of Civil Engineering;3;0;2;4;6;Course;Rıza Secer Orkun Keskin ;G101 HB03-MF-L;Mo 14 - 16 We 14 - 15 Fr 09 - 11;0;;;;;;1812;
;2025;2;CE 221;Materials Science;CE 221_01;Department of Civil Engineering;3;0;2;4;6;Course;Cem Akgüner ;G101 HB05-MF-L;Mo 11 - 13 Tu 10 - 11 Fr 11 - 13;0;;;;;;204;
;2025;2;CE 232;Fluid Mechanics;CE 232_01;Department of Civil Engineering;3;0;0;3;6;Course;Aslı Numanoğlu Genç ;G201;Tu 14 - 17;0;;;;;;2023;
;2025;2;CE 232-O;Fluid Mechanics;CE 232-O_01;Department of Civil Engineering;3;0;0;3;5;Course;Aslı Numanoğlu Genç ;G201;Tu 14 - 17;0;;;;;;2023;
;2025;2;CE 312;Fundamentals of Steel Design;CE 312_01;Department of Civil Engineering;3;0;0;3;6;Course;Özkan Kale ;G101;Th 09 - 12;0;;;;;;1005;
;2025;2;CE 314;Reinforced Concrete Fundamentals;CE 314_01;Department of Civil Engineering;3;0;0;3;6;Course;Güney Özcebe ;A435;Tu 13 - 14 We 13 - 15;0;;;;;;186;
;2025;2;CE 332;Water Resources Engineering;CE 332_01;Department of Civil Engineering;3;0;0;3;6;Course;Aslı Numanoğlu Genç ;F312;Mo 15 - 18;0;;;;;;2023;
;2025;2;CE 341;Soil Mechanics;CE 341_01;Department of Civil Engineering;3;0;2;4;6;Course;Cem Akgüner ;F304 HB06-MF-L;Tu 15 - 18 Fr 13 - 15;0;;;;;;204;
;2025;2;CE 451-O;Construction Engineering and Management;CE 451-O_01;Department of Civil Engineering;3;0;0;3;5;Course;Sait Metin Arıkan ;G101;Th 14 - 17;0;;;;;;267;
;2025;2;CE 499-O;Summer Practice II;CE 499-O_01;Department of Civil Engineering;2;0;0;1;2;Internship;Rıza Secer Orkun Keskin ;;Fr 09 - 10;0;;;;;;1812;
